,Artists,Song,Rank,Week
0,Travis Scott,Sicko Mode,1,2018-12-08
1,Ariana Grande,"Thank U, Next",2,2018-12-08
2,Marshmello & Bastille,Happier,3,2018-12-08
3,Halsey,Without Me,4,2018-12-08
4,Panic! At The Disco,High Hopes,5,2018-12-08
5,Sheck Wes,Mo Bamba,6,2018-12-08
6,Kodak Black Featuring Travis Scott & Offset,ZEZE,7,2018-12-08
7,Lil Baby & Gunna,Drip Too Hard,8,2018-12-08
8,Maroon 5 Featuring Cardi B,Girls Like You,9,2018-12-08
9,Juice WRLD,Lucid Dreams,10,2018-12-08
10,Post Malone,Better Now,11,2018-12-08
11,5 Seconds Of Summer,Youngblood,12,2018-12-08
12,Ariana Grande,Breathin,13,2018-12-08
13,Mariah Carey,All I Want For Christmas Is You,14,2018-12-08
14,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,15,2018-12-08
15,Ella Mai,Trip,16,2018-12-08
16,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),17,2018-12-08
17,"Benny Blanco, Halsey & Khalid",Eastside,18,2018-12-08
18,Bad Bunny Featuring Drake,MIA,19,2018-12-08
19,Khalid & Normani,Love Lies,20,2018-12-08
20,Andy Williams,It's The Most Wonderful Time Of The Year,21,2018-12-08
21,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,22,2018-12-08
22,Brenda Lee,Rockin' Around The Christmas Tree,23,2018-12-08
23,Cardi B,Money,24,2018-12-08
24,Imagine Dragons,Natural,25,2018-12-08
25,Burl Ives,A Holly Jolly Christmas,26,2018-12-08
26,Flipp Dinero,Leave Me Alone,27,2018-12-08
27,Lady Gaga & Bradley Cooper,Shallow,28,2018-12-08
28,Khalid,Better,29,2018-12-08
29,Bazzi Featuring Camila Cabello,Beautiful,30,2018-12-08
30,"Cardi B, Bad Bunny & J Balvin",I Like It,31,2018-12-08
31,lovelytheband,Broken,32,2018-12-08
32,Bobby Helms,Jingle Bell Rock,33,2018-12-08
33,Ariana Grande,God Is A Woman,34,2018-12-08
34,Tyga Featuring Offset,Taste,35,2018-12-08
35,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,36,2018-12-08
36,Drake,In My Feelings,37,2018-12-08
37,Dan + Shay,Speechless,38,2018-12-08
38,Nat King Cole,The Christmas Song (Merry Christmas To You),39,2018-12-08
39,Lil Wayne,Uproar,40,2018-12-08
40,Kane Brown,Lose It,41,2018-12-08
41,Luke Combs,She Got The Best Of Me,42,2018-12-08
42,Wham!,Last Christmas,43,2018-12-08
43,Lil Baby & Drake,Yes Indeed,44,2018-12-08
44,Dan + Shay,Tequila,45,2018-12-08
45,Drake,Nonstop,46,2018-12-08
46,Cardi B Featuring Kehlani,Ring,47,2018-12-08
47,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,48,2018-12-08
48,Jimmie Allen,Best Shot,49,2018-12-08
49,Ella Mai,Boo'd Up,50,2018-12-08
50,NF,Lie,51,2018-12-08
51,Billie Eilish,When The Party's Over,52,2018-12-08
52,Mitchell Tenpenny,Drunk Me,53,2018-12-08
53,XXXTENTACION,BAD!,54,2018-12-08
54,Juice WRLD,Armed And Dangerous,55,2018-12-08
55,Shawn Mendes X Zedd,Lost In Japan,56,2018-12-08
56,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,57,2018-12-08
57,6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,58,2018-12-08
58,6ix9ine Featuring Tory Lanez,KIKA,59,2018-12-08
59,Lauren Daigle,You Say,60,2018-12-08
60,6ix9ine Featuring Bobby Shmurda,STOOPID,61,2018-12-08
61,6ix9ine Featuring Lil Baby,TIC TOC,62,2018-12-08
62,Lil Baby,Close Friends,63,2018-12-08
63,Future & Juice WRLD,Fine China,64,2018-12-08
64,Dean Lewis,Be Alright,65,2018-12-08
65,Trippie Redd,Topanga,66,2018-12-08
66,Yella Beezy,That's On Me,67,2018-12-08
67,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),68,2018-12-08
68,Billie Eilish,Come Out And Play,69,2018-12-08
69,Metro Boomin Featuring 21 Savage,10 Freaky Girls,70,2018-12-08
70,6ix9ine Featuring A Boogie Wit da Hoodie,WAKA,71,2018-12-08
71,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,72,2018-12-08
72,French Montana Featuring Drake,No Stylist,73,2018-12-08
73,Dierks Bentley Featuring Brothers Osborne,Burning Man,74,2018-12-08
74,Tory Lanez & Rich The Kid,Talk To Me,75,2018-12-08
75,Pardison Fontaine Featuring Cardi B,Backin' It Up,76,2018-12-08
76,Camila Cabello,Consequences,77,2018-12-08
77,Bebe Rexha,I'm A Mess,78,2018-12-08
78,Chris Young,Hangin' On,79,2018-12-08
79,Tyga & Nicki Minaj,Dip,80,2018-12-08
80,Dustin Lynch,Good Girl,81,2018-12-08
81,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,82,2018-12-08
82,Billie Eilish & Khalid,Lovely,83,2018-12-08
83,Anuel AA & Romeo Santos,Ella Quiere Beber,84,2018-12-08
84,Lil Baby & Gunna Featuring Drake,Never Recover,85,2018-12-08
85,6ix9ine Featuring Anuel AA,BEBE,86,2018-12-08
86,Maren Morris,Rich,87,2018-12-08
87,Thomas Rhett,Sixteen,88,2018-12-08
88,Russell Dickerson,Blue Tacoma,89,2018-12-08
89,Jacquees,You,90,2018-12-08
90,Metro Boomin Featuring Gunna,Space Cadet,91,2018-12-08
91,Kip Moore,Last Shot,92,2018-12-08
92,Daniel Caesar Featuring H.E.R.,Best Part,93,2018-12-08
93,Jason Aldean,Girl Like You,94,2018-12-08
94,Metro Boomin Featuring 21 Savage,Don't Come Out The House,95,2018-12-08
95,Billie Eilish,Ocean Eyes,96,2018-12-08
96,Kanye West & Lil Pump,I Love It,97,2018-12-08
97,Lil Peep & XXXTENTACION,Falling Down,98,2018-12-08
98,Lil Mosey,Noticed,99,2018-12-08
99,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,100,2018-12-08
100,Ariana Grande,"Thank U, Next",1,2018-12-01
101,Travis Scott,Sicko Mode,2,2018-12-01
102,Marshmello & Bastille,Happier,3,2018-12-01
103,Halsey,Without Me,4,2018-12-01
104,Juice WRLD,Lucid Dreams,5,2018-12-01
105,Panic! At The Disco,High Hopes,6,2018-12-01
106,Sheck Wes,Mo Bamba,7,2018-12-01
107,Maroon 5 Featuring Cardi B,Girls Like You,8,2018-12-01
